ZIP,cluster_id,coverage_pct,can_skip,covered_by
11368,A_5mi_C1,86.1,False,"[('11385', 65.1), ('11226', 24.4), ('11373', 86.1), ('11236', 31.3), ('10025', 40.4), ('11221', 50.2), ('11234', 15.4), ('11377', 75.2), ('11375', 81.7), ('11218', 19.0), ('11215', 22.6), ('11201', 30.3), ('10023', 38.9), ('11211', 48.5), ('10024', 37.6), ('10128', 51.1), ('11238', 34.6), ('07030', 21.6), ('07302', 15.4), ('10016', 42.6), ('10003', 37.3), ('10011', 33.3), ('10028', 50.7), ('11217', 31.1), ('11231', 21.5), ('10021', 49.7), ('10022', 46.8), ('10010', 40.6), ('10065', 48.3), ('10014', 30.4), ('10013', 29.9), ('07310', 19.3)]"
11385,A_5mi_C1,80.8,False,"[('11368', 65.1), ('11226', 54.3), ('11373', 75.6), ('11236', 61.8), ('10025', 32.3), ('11221', 80.8), ('11234', 42.3), ('11377', 71.5), ('11229', 35.6), ('11375', 75.9), ('11218', 47.0), ('11215', 49.3), ('11209', 23.1), ('11201', 53.1), ('10023', 38.1), ('11211', 69.1), ('10024', 30.7), ('10128', 43.7), ('11238', 62.6), ('07030', 30.8), ('07302', 29.0), ('10016', 50.6), ('10003', 50.0), ('10011', 43.2), ('10028', 45.3), ('11217', 57.1), ('11231', 45.0), ('10021', 47.4), ('10022', 49.3), ('10010', 50.9), ('10065', 48.2), ('10014', 42.6), ('10013', 45.5), ('07310', 31.5)]"
11226,A_5mi_C1,90.6,True,"[('11368', 24.4), ('11385', 54.3), ('11373', 34.6), ('11236', 73.1), ('10025', 14.3), ('11221', 68.9), ('11234', 66.7), ('11377', 36.6), ('11229', 71.3), ('11375', 33.3), ('11218', 90.6), ('11215', 82.4), ('11209', 62.3), ('11201', 66.7), ('10023', 23.8), ('11211', 59.1), ('10024', 14.2), ('10128', 21.9), ('11238', 79.2), ('07030', 32.2), ('07302', 39.9), ('10016', 39.7), ('10003', 46.0), ('10011', 39.1), ('10028', 24.3), ('11217', 75.4), ('11231', 69.9), ('10021', 27.9), ('10022', 33.1), ('10010', 42.7), ('10065', 30.1), ('10014', 42.6), ('10013', 49.8), ('07310', 37.9)]"
11373,A_5mi_C1,86.8,False,"[('11368', 86.1), ('11385', 75.6), ('11226', 34.6), ('11236', 39.3), ('10025', 45.6), ('11221', 62.6), ('11234', 22.2), ('11377', 86.8), ('11229', 16.8), ('11375', 81.0), ('11218', 28.9), ('11215', 33.4), ('11201', 42.2), ('10023', 47.0), ('11211', 61.5), ('10024', 43.1), ('10128', 57.6), ('11238', 46.5), ('07030', 31.0), ('07302', 24.9), ('10016', 53.5), ('10003', 48.7), ('10011', 43.9), ('10028', 58.0), ('11217', 42.9), ('11231', 32.5), ('10021', 58.1), ('10022', 56.6), ('10010', 51.8), ('10065', 57.4), ('10014', 41.2), ('10013', 41.1), ('07310', 29.1)]"
11236,A_5mi_C1,78.9,False,"[('11368', 31.3), ('11385', 61.8), ('11226', 73.1), ('11373', 39.3), ('11221', 65.3), ('11234', 78.9), ('11377', 36.8), ('11229', 68.5), ('11375', 44.5), ('11218', 64.4), ('11215', 57.3), ('11209', 39.9), ('11201', 47.2), ('10023', 15.2), ('11211', 49.2), ('10128', 16.6), ('11238', 61.5), ('07030', 17.2), ('07302', 21.2), ('10016', 28.7), ('10003', 32.2), ('10011', 25.5), ('10028', 18.4), ('11217', 55.3), ('11231', 46.4), ('10021', 21.0), ('10022', 24.5), ('10010', 30.6), ('10065', 22.5), ('10014', 27.4), ('10013', 32.9), ('07310', 20.8)]"
10025,A_5mi_C1,96.3,True,"[('11368', 40.4), ('11385', 32.3), ('11226', 14.3), ('11373', 45.6), ('11221', 33.8), ('11377', 56.2), ('11375', 29.3), ('11218', 13.1), ('11215', 21.1), ('11201', 36.4), ('10023', 83.9), ('11211', 47.3), ('10024', 96.3), ('10128', 86.6), ('11238', 29.5), ('07030', 55.2), ('07302', 40.0), ('10016', 66.4), ('10003', 57.5), ('10011', 61.5), ('10028', 84.8), ('11217', 31.0), ('11231', 27.2), ('10021', 81.2), ('10022', 75.0), ('10010', 62.4), ('10065', 78.7), ('10014', 55.7), ('10013', 48.9), ('07310', 47.2)]"
11221,A_5mi_C1,82.1,False,"[('11368', 50.2), ('11385', 80.8), ('11226', 68.9), ('11373', 62.6), ('11236', 65.3), ('10025', 33.8), ('11234', 47.6), ('11377', 65.1), ('11229', 44.8), ('11375', 57.7), ('11218', 62.7), ('11215', 67.0), ('11209', 37.6), ('11201', 70.7), ('10023', 43.0), ('11211', 82.1), ('10024', 33.0), ('10128', 44.4), ('11238', 81.3), ('07030', 42.2), ('07302', 43.0), ('10016', 59.2), ('10003', 61.9), ('10011', 54.0), ('10028', 46.9), ('11217', 75.6), ('11231', 62.8), ('10021', 50.3), ('10022', 54.6), ('10010', 60.9), ('10065', 52.2), ('10014', 55.1), ('10013', 59.8), ('07310', 44.7)]"
11234,A_5mi_C1,83.1,False,"[('11368', 15.4), ('11385', 42.3), ('11226', 66.7), ('11373', 22.2), ('11236', 78.9), ('11221', 47.6), ('11377', 20.3), ('11229', 83.1), ('11375', 27.1), ('11218', 61.4), ('11215', 50.4), ('11209', 43.8), ('11201', 36.4), ('11211', 33.8), ('11238', 49.0), ('07302', 13.8), ('10016', 16.0), ('10003', 20.0), ('10011', 14.4), ('11217', 44.3), ('11231', 38.8), ('10022', 11.8), ('10010', 18.0), ('10014', 16.6), ('10013', 22.1), ('07310', 12.4)]"
11377,A_5mi_C1,86.8,False,"[('11368', 75.2), ('11385', 71.5), ('11226', 36.6), ('11373', 86.8), ('11236', 36.8), ('10025', 56.2), ('11221', 65.1), ('11234', 20.3), ('11229', 16.7), ('11375', 68.5), ('11218', 32.0), ('11215', 38.3), ('11209', 13.1), ('11201', 49.9), ('10023', 59.0), ('11211', 69.8), ('10024', 54.0), ('10128', 68.9), ('11238', 51.5), ('07030', 41.9), ('07302', 34.4), ('10016', 65.6), ('10003', 59.9), ('10011', 55.5), ('10028', 69.9), ('11217', 49.1), ('11231', 39.2), ('10021', 70.5), ('10022', 69.2), ('10010', 63.5), ('10065', 70.0), ('10014', 52.2), ('10013', 51.3), ('07310', 39.3)]"
11229,A_5mi_C1,83.1,False,"[('11385', 35.6), ('11226', 71.3), ('11373', 16.8), ('11236', 68.5), ('11221', 44.8), ('11234', 83.1), ('11377', 16.7), ('11375', 19.2), ('11218', 69.8), ('11215', 57.3), ('11209', 57.9), ('11201', 40.6), ('11211', 33.6), ('11238', 51.5), ('07030', 11.7), ('07302', 19.1), ('10016', 16.9), ('10003', 22.0), ('10011', 16.5), ('11217', 48.2), ('11231', 45.7), ('10022', 11.8), ('10010', 19.3), ('10014', 19.5), ('10013', 25.6), ('07310', 16.7)]"
