ZIP,Geographic Area Name,Number HH,Number Families,Families with Children <18,Families with No Own Children,Married Couple Families,Married Couple with Kids <18,Female Householder,Single Mom,Male Householder,Single Dad,2-Person Families,3-Person Families,4-Person Families,5-Person Families,6-Person Families,7+ Person Families,No Earners,1 Earner,2 Earners,3+ Earners,Non Family Households,Non-Family Female Householder,Single Woman,Single Woman Not Alone,Non-Family Male,Single Male,Single Male Not Alone,Median Income,Median Family Income,Median Family With Children,Median Family No Kids,Median Married,Median Married Kids,Media Married No Kids,Total Pop,Total Pop <5,Total Pop 5-9,Total Pop 10-14,Total Pop 15-19,Total Pop 20-24,Total Pop 25-29,Total Pop 30-34,Total Pop 35-39,Total Pop 40-44,Total Pop 45-49,Total Pop 50-54,Total Pop 55-59,Total Pop 60-64,Total Pop 65-69,Total Pop 70-74,Total Pop 75-79,Total Pop 80-84,Total Pop 85+,Total Pop 5-14,Total Pop 15-17,Total Pop <18,Total Pop 18-24,Total Pop 15-44,Total Pop 16+,Total Pop 18+,Total Pop 21+,Total Pop 60+,Total Pop 62+,Total Pop 65+,Total Pop 75+,Median Age,Males Per 100 Females,Age Dependency Ratio,Old-Age Dependency Ratio,Child Dependency Ratio,Total Pop Male,Median Age Male,Total Pop Female,Median Age Female,ZCTA5,latitude,longitude,area_land_meters,area_water_meters,area_land_sqmi,area_water_sqmi,wealth_score,population_score,children_score,area_score,composite_score,grade,cluster,cluster_id,cluster_radius,cluster_grades,ZIPs in Cluster,Avg Median Income,Total Population,Total Children,Total Area (sq mi)
60608,ZCTA5 60608,30070,16181,6289,9892,9980,3737,4005,1876,2196,676,6777,3972,2839,1081,902,610,1434,4985,6954,2808,13889,6804,5258,1546,7085,5210,1875,70704.0,82461,70063,91163,108407,108601,45724,81459,3407,3571,4241,4073,7666,9305,9187,7080,5819,4296,4846,4737,4026,3903,2343,1335,739,885,7812,2414,13633,9325,43130,69434,67826,64632,13231,11533,9205,2959,34.6,126.1,39.0,15.7,23.3,45432,33.2,36027,36.1,60608,41.84688,-87.670664,16322728.0,568479.0,6.302,0.219,0.0038945093529336,0.5617237367543944,0.2727193059328718,0.9987246219467172,0.3453323106962748,B,0,"B,C_5mi_C1",5,"B,C",36,103621.28,1355560,121269,137.43
7305,ZCTA5 07305,26319,16686,6759,9927,9081,4057,5637,2491,1968,211,5810,4662,3260,1478,920,556,1812,5612,6696,2566,9633,5114,4462,652,4519,3458,1061,77126.0,91591,74653,98002,117125,109630,56603,71643,5721,5160,4646,4151,4313,5200,5985,4602,4855,4051,4284,4768,3715,3683,2617,1894,862,1136,9806,2539,18066,5925,29106,55391,53577,51277,13907,12256,10192,3892,35.7,93.7,65.1,23.5,41.6,34647,33.9,36996,37.6,07305,40.698149,-74.080976,14957634.0,964804.0,5.775,0.373,0.0395728817702517,0.484561204917775,0.2933134694592937,0.9988344820699732,0.3485819627514272,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
91706,ZCTA5 91706,18485,15603,5939,9664,9718,4011,3731,1380,2154,548,3599,3588,3596,2480,1168,1172,1393,4441,5386,4383,2882,1392,1147,245,1490,1155,335,79473.0,78763,68677,86118,87570,82066,64215,71620,3718,3838,5138,5059,5595,4997,5206,4439,5275,5040,4721,4551,3893,3563,2768,1520,1182,1117,8976,2972,15666,7682,30571,58030,55954,53043,14043,12118,10150,3819,37.4,102.0,56.4,22.2,34.2,36169,35.7,35451,39.1,91706,34.09741,-117.968269,34801256.0,2219623.0,13.437,0.857,0.0526119879775774,0.4843804043643682,0.2573832267110683,0.997237236786506,0.3420908301963221,B,2,"B,C_5mi_C3",5,"B,C",103,104663.29,3802492,336813,565.19
10469,ZCTA5 10469,23582,16775,6642,10133,8762,3558,6278,2552,1735,532,5563,4966,2810,1999,989,448,2440,5335,5985,3015,6807,3715,3391,324,3092,2819,273,76018.0,90745,71584,97610,123641,135263,65774,69855,4121,4100,3814,5376,4499,4604,5086,3437,4080,3778,4967,4651,4703,3375,2648,2438,1927,2251,7914,3706,15741,6169,27082,56715,54114,51644,17342,14872,12639,6616,39.9,87.1,68.4,30.5,38.0,32529,37.4,37326,42.1,10469,40.868609,-73.848134,6403528.0,0.0,2.472,0.0,0.0334172236203936,0.4705059271137943,0.2881868372622908,0.9995230361252188,0.3421817202873667,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
10463,ZCTA5 10463,29575,16495,7380,9115,9096,3781,5934,3187,1465,412,7731,4652,2507,1094,242,269,2739,5190,7264,1302,13080,8154,7746,408,4926,3957,969,72952.0,84178,80116,85521,126204,152436,47543,69373,4140,3499,4886,3863,3484,4214,4543,4388,4063,4419,4906,4278,4273,4220,3547,2727,1684,2239,8385,2837,15362,4510,24555,55812,54011,52319,18690,17377,14417,6650,41.9,82.8,75.2,36.4,38.8,31426,38.0,37947,44.7,10463,40.880678,-73.90654,3755858.0,345779.0,1.45,0.134,0.0163836063934398,0.4667169763858755,0.3205240557356936,0.9997360855483072,0.3451952870678332,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
91766,ZCTA5 91766,19399,15256,6340,8916,10235,4089,3180,1499,1841,752,4658,2969,3072,2789,912,856,1612,4701,5411,3532,4143,2065,1572,493,2078,1208,870,77699.0,78913,75945,83571,91417,97654,51542,68673,3861,4231,5251,5319,4975,5735,5029,4566,4885,4364,4056,3902,3646,3212,2489,1399,782,971,9482,3128,16471,7166,30509,54256,52202,49003,12499,10904,8853,3152,34.9,102.6,58.4,20.4,38.0,34772,34.4,33901,36.1,91766,34.042286,-117.756106,26337187.0,13041.0,10.169,0.005,0.0427562681600249,0.4612143508474043,0.2749539917623346,0.997918494628632,0.3393815357484848,B,7,"B,C_5mi_C4",5,"B,C",8,93650.5,392500,37256,77.07
33015,ZCTA5 33015,23010,17641,7525,10116,9755,4270,5590,2324,2296,931,6540,5076,3595,1865,274,291,1432,5366,7944,2899,5369,3021,2230,791,2348,1472,876,73609.0,72944,65196,78953,86813,78266,60625,68430,3098,3671,4138,5297,4486,3688,4316,4613,6268,5491,5296,5092,3900,3102,2292,1654,1055,973,7809,3170,14077,6613,28668,56170,54353,51152,12976,11068,9076,3682,40.8,88.5,51.1,20.0,31.1,32122,37.8,36308,42.8,33015,25.941369,-80.317673,15127209.0,1607012.0,5.841,0.62,0.0200336672277871,0.4593041536961922,0.3268775742704408,0.9988207234966622,0.3467589950745955,B,3,"B,C_5mi_C5",5,"B,C",15,96790.6,576248,60139,131.64
11434,ZCTA5 11434,22737,15830,5983,9847,7526,3296,6675,2311,1629,376,5724,4476,2875,1582,682,491,1730,5234,6012,2854,6907,4404,4103,301,2503,2074,429,76668.0,98089,96826,98373,120858,136186,67043,67611,3926,4072,4214,4087,3904,4872,4286,4370,4505,3815,5225,4888,4746,3557,2595,1710,1228,1611,8286,2489,14701,5502,26024,54183,52910,50754,15447,13494,10701,4549,40.1,81.6,60.2,25.4,34.8,30380,37.5,37231,42.2,11434,40.677857,-73.777073,8465071.0,106288.0,3.268,0.041,0.0370283949176931,0.4528660818161809,0.259311190956095,0.999357099392559,0.3312300767801411,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
60641,ZCTA5 60641,25449,15686,6535,9151,10468,4462,3434,1498,1784,575,5994,3463,3691,1584,575,379,1149,4612,7076,2849,9763,4741,3747,994,5022,3558,1464,81649.0,102684,97569,107726,122440,123274,59605,67400,4153,3963,3997,3902,3877,4555,5994,5304,5274,4897,4905,4152,4020,2823,2471,1355,830,928,7960,2474,14587,5305,28906,54152,52813,50753,12427,10551,8407,3113,38.1,100.4,51.8,18.9,32.8,33774,37.4,33626,38.8,60641,41.946606,-87.746787,10468070.0,0.0,4.042,0.0,0.0647010783513059,0.4512074332610131,0.2834983787573394,0.9991957488510028,0.347815740030012,B,0,"B,C_5mi_C1",5,"B,C",36,103621.28,1355560,121269,137.43
11372,ZCTA5 11372,25384,16256,5609,10647,10487,3944,4037,1298,1732,367,6432,4781,3169,1217,439,218,1839,5051,6772,2594,9128,4476,3664,812,4652,3077,1575,77133.0,79371,66791,85474,97004,74812,48512,66995,3949,3782,3209,2426,3006,3870,5490,5110,5272,5288,4906,5523,4077,3867,2922,2060,1093,1145,6991,1563,12503,3869,25174,55565,54492,52973,15164,13738,11087,4298,42.4,107.8,54.3,25.5,28.8,34753,41.2,32242,44.0,11372,40.751675,-73.883666,1918699.0,0.0,0.741,0.0,0.0396117713072995,0.4480237713423262,0.2429234948733678,0.9998838859797844,0.3263285055849981,B,1,"B,C_5mi_C2",5,"B,C",106,106626.55,3672559,332353,278.71
