Organization,Address,Region,Phone,Website,Notes,Drive Radius,Population,Households,Household Size,Median HH Income,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Latitude,Longitude
Asphalt Green - Battery Park City,"212 N End Ave New York, NY 10282",,(212) 298-2900,asphaltgreen.org,,1 mi,"80,725","39,200",2.06,"$179,146 ",,,,,,,,,,,,,,,,,40.7159868,-74.0149055
Onelife Fitness - Tysons,"8250 Greensboro Dr Mclean, VA 22102",,(703) 442-9150,onelifefitness.com,Onelife is a chain,7 mi,"320,644","124,389",2.58,"$152,862 ",,,,,,,,,,,,,,,,,38.94869812960199,-77.23659665960199
Onelife Fitness - McLean,"1800 Old Meadow Rd McLean, VA 22102",,(703) 556-6550,onelifefitness.com,Onelife is a chain,7 mi,"352,225","135,553",2.6,"$148,121 ",,,,,,,,,,,,,,,,,38.94869812960199,-77.23659665960199
The Riekes Center,"3455 Edison Way Menlo Park, CA 94025",,(650) 364-2509,riekes.org,"More of a community center, but privately run",7 mi,"322,602","118,245",2.73,"$147,588 ",,,,,,,,,,,,,,,,,37.45312533013393,-122.18147790558035
PRO Club Bellevue,"4455 148th Ave NE Bellevue, WA 98007",,(425) 885-5566,https://www.proclub.com/club/locations/bellevue,PRO Club is a fancy chain,7 mi,"304,254","127,498",2.39,"$141,065 ",,,,,,,,,,,,,,,,,47.6515,-122.1452087
Oakwood Athletic Club,"4000 Mt Diablo Blvd Lafayette, CA 94549",,(925) 283-4000,oakwoodathleticclub.com,,7 mi,"137,426","59,167",2.32,"$137,733 ",,,,,,,,,,,,,,,,,37.891724945313946,-122.12147709078701
Jewish Community Center of San Francisco - JCCSF,"3200 California St San Francisco, CA 94118",,(415) 292-1200,jccsf.org,,7 mi,"871,228","382,507",2.28,"$123,431 ",,,,,,,,,,,,,,,,,37.787385400000005,-122.44784391073482
Onelife Fitness - Pike & Rose,"11594 Old Georgetown Rd Rockville, MD 20852",,(301) 245-3908,onelifefitness.com,Onelife is a chain,7 mi,"485,539","193,406",2.51,"$121,657 ",,,,,,,,,,,,,,,,,39.0485,-77.1277
Onelife Fitness - Bethesda,"4400 Montgomery Ave Bethesda, MD 20814",,(301) 656-9570,onelifefitness.com,,7 mi,"739,503","320,456",2.31,"$117,104 ",,,,,,,,,,,,,,,,,38.9927155,-77.0877395
Achieve Sports Center,"22675 E Aurora Pkwy Aurora, CO 80016",,(720) 330-2200,achievesports.com,,7 mi,"201,687","71,139",2.84,"$116,270 ",,,,,,,,,,,,,,,,,39.575805349999996,-104.72485500155926
