ZIP,latitude,longitude
77494,29.743948,-95.830502
77449,29.837611,-95.73374
78660,30.43963,-97.594687
77433,29.945301,-95.741369
77084,29.827486,-95.65992
11368,40.749737,-73.853045
11385,40.700647,-73.889423
92336,34.147718,-117.464506
37013,36.051845,-86.630396
90650,33.9076,-118.082645
30044,33.915234,-84.063923
11226,40.646448,-73.956649
94565,38.014576,-121.906255
11373,40.738843,-73.878539
91331,34.255442,-118.421314
77573,29.503785,-95.0873
79938,31.829712,-105.971362
77429,29.995758,-95.665088
78130,29.69811,-98.070311
75052,32.664684,-97.029478
92335,34.087181,-117.46545
11236,40.639413,-73.900664
90250,33.914775,-118.348083
10314,40.599263,-74.165748
91342,34.326584,-118.382261
78641,30.562557,-97.907846
10025,40.798601,-73.966622
34787,28.485174,-81.619415
77479,29.566996,-95.636016
60618,41.947568,-87.702647
90280,33.944159,-118.192761
78245,29.40009,-98.730555
77584,29.545041,-95.350692
11221,40.69134,-73.927879
92683,33.752498,-117.993967
78613,30.50391,-97.82418
30043,33.999036,-84.009343
92503,33.882584,-117.442292
11234,40.606436,-73.909725
85142,33.19999,-111.636294
73099,35.527369,-97.78251
99301,46.377835,-118.951726
75035,33.157388,-96.778665
60647,41.921215,-87.701028
30024,34.063485,-84.0911
91911,32.608185,-117.054512
93722,36.801799,-119.879121
92376,34.111605,-117.377406
22193,38.644065,-77.350545
93727,36.751227,-119.680145
11377,40.74482,-73.905161
96706,21.344782,-158.022298
92804,33.818271,-117.975019
77379,30.039457,-95.534383
92154,32.567022,-117.00425
79928,31.631426,-106.160065
34953,27.24968,-80.383236
95076,36.945781,-121.756058
27587,35.981382,-78.557584
84043,40.410306,-111.876298
76063,32.57074,-97.144837
77407,29.670004,-95.708089
60608,41.84688,-87.670664
77459,29.526401,-95.530936
92592,33.511228,-117.042396
93033,34.150203,-119.127727
92704,33.721131,-117.90511
28269,35.337313,-80.803472
91710,34.004486,-117.684713
92509,34.003266,-117.442004
94112,37.720367,-122.442936
11229,40.601293,-73.944493
30040,34.210111,-84.187856
28027,35.407042,-80.685859
79912,31.848583,-106.534316
98052,47.682254,-122.12045
30052,33.815151,-83.893561
95747,38.782058,-121.37317
78254,29.537675,-98.73503
76028,32.532677,-97.306547
94533,38.280745,-122.00638
95035,37.443638,-121.874953
60625,41.973076,-87.700362
91744,34.0313,-117.936777
91709,33.964199,-117.737063
91910,32.637882,-117.058047
95630,38.666597,-121.141635
92563,33.580016,-117.14736
80134,39.486112,-104.778923
